event_date,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,country_code,admin_division_name,admin_division_population,longitude,latitude,temp,humidity,wind
17-05-2015 00:00,landslide,rain,medium,urban,0,0,MX,Baja California,1173,-117.0898,32.5196,16.4,74,13.6
01-10-2016 00:00,landslide,downpour,medium,bluff,0,0,GB,England,2565,0.8546,51.4216,12.3,88,11.3
02-04-2015 00:00,landslide,continuous_rain,medium,natural_slope,0,0,IN,Kashmir,14965,74.4725,34.1587,5.2,92,4.3
19-07-2015 00:00,landslide,downpour,small,above_road,0,0,US,California,20292,-116.9029,33.0742,21.3,93,11.8
21-10-2015 00:00,landslide,rain,medium,above_road,0,0,MX,Chiapas,19092,-92.2523,15.3482,18.2,92,3.6
03-03-2016 00:00,landslide,flooding,unknown,above_road,0,0,PH,Mimaropa,32739,121.6979,14.2282,24.3,89,15.5
23-01-2014 00:00,landslide,downpour,unknown,below_road,0,0,PH,Ilocos,4945,120.8221,18.5875,20,77,33.5
13-03-2016 00:00,mudslide,downpour,small,above_road,0,0,US,California,6871,-120.4218,38.7987,2.9,88,18.9
12-05-2015 00:00,mudslide,no_apparent_trigger,small,urban,0,0,GB,Wales,1726,-3.3002,53.3297,11.2,76,27.9
16-03-2015 14:30,landslide,rain,small,above_road,0,0,US,Washington,53007,-122.376,47.7166,6.8,91,5.1
01-08-2015 00:00,landslide,continuous_rain,medium,above_road,0,0,IN,Manipur,30418,94.1078,24.1419,19.3,100,5.4
03-06-2015 12:30,landslide,no_apparent_trigger,medium,mine,3,0,ID,Bali,0,115.5442,-8.7401,26.8,90,12.2
15-10-2014 00:00,landslide,continuous_rain,medium,other,0,0,SV,San Miguel,6393,-88.0843,13.293,26,92,10.5
01-11-2014 05:05,debris_flow,rain,small,above_road,0,0,US,California,3371,-117.6767,34.2008,13.5,86,15.8
16-08-2015 13:00,landslide,rain,medium,above_road,0,0,NP,Western Region,23296,83.6182,28.2576,27,83,4.2
22-08-2015 04:30,landslide,downpour,medium,above_road,0,0,IN,Himachal Pradesh,2467,77.1213,31.0365,19.2,89,3.8
26-09-2014 10:00,landslide,continuous_rain,small,above_road,0,0,US,Washington,1035,-122.3657,47.9918,14.7,83,18.5
12-12-2014 00:00,mudslide,downpour,small,burned_area,0,0,US,California,50073,-117.7994,34.2062,13.6,65,6.2
